proto,duration,packets,bytes,pps,bps,avg_pkt
6,8.39,52,6541,6.198,779.664,125.788
6,10.353,277,1651819,26.754,159543.197,5963.245
6,5.002,3,418,0.6,83.56,139.333
6,5.002,2,352,0.4,70.367,176.0
6,7.937,9,8831,1.134,1112.7,981.222
6,5.001,2,242,0.4,48.39,121.0
6,8.262,11,1023,1.331,123.817,93.0
6,5.121,8,6791,1.562,1326.119,848.875
6,7.56,4,391,0.529,51.72,97.75
17,27.043,8,4365,0.296,161.409,545.625
6,7.502,5,465,0.666,61.98,93.0
17,27.041,11,5753,0.407,212.75,523.0
17,13.142,6,880,0.457,66.962,146.667
6,45.435,3,223,0.066,4.908,74.333
6,45.259,2,161,0.044,3.557,80.5
6,5.002,2,352,0.4,70.366,176.0
